original_lens,mapped_lens,short_lens,brand,mount,timestamp
NIKKOR Z 85mm f/1.8 S,NIKKOR Z 85mm f/1.8 S,Z 85mm f/1.8 S,Nikon,Z,2026/06/04 12:00
NIKKOR Z DX 16-50mm f/3.5-6.3 VR,NIKKOR Z DX 16-50mm f/3.5-6.3 VR,Z DX 16-50mm f/3.5-6.3 VR,Nikon,Z,2026/09/12 21:11
OLYMPUS M.12mm F2.0,M.Zuiko 12mm F2.0,M.Zuiko 12mm F2.0,OM System,MFT,2026/09/12 21:11
RF-S14-30mm F4-6.3 IS STM PZ,RF-S 14-30mm F4-6.3 IS STM PZ,RF-S 14-30mm F4-6.3,Canon,RF,2026/09/12 21:11
RF-S18-150mm F3.5-6.3 IS STM,RF-S 18-150mm F3.5-6.3 IS STM,RF-S 18-150mm F3.5-6.3,Canon,RF,2026/09/12 21:11
RF-S18-45mm F4.5-6.3 IS STM,RF-S 18-45mm F4.5-6.3 IS STM,RF-S 18-45mm F4.5-6.3,Canon,RF,2026/09/12 21:11
RF15-35mm F2.8 L IS USM,RF 15-35mm F2.8 L IS USM,RF 15-35mm F2.8 L,Canon,RF,2026/09/12 21:11
RF16mm F2.8 STM,RF 16mm F2.8 STM,RF 16mm F2.8,Canon,RF,2026-08-14 21:02:12
RF24-105mm F4 L IS USM,RF 24-105mm F4 L IS USM,RF 24-105mm F4 L,Canon,RF,2026/09/12 21:11
RF24-50mm F4.5-6.3 IS STM,RF 24-50mm F4.5-6.3 IS STM,RF 24-50mm F4.5-6.3,Canon,RF,2026/09/12 21:11
RF24-70mm F2.8 L IS USM,RF 24-70mm F2.8 L IS USM,RF 24-70mm F2.8 L,Canon,RF,2026/09/12 21:11
RF35mm F1.8 MACRO IS STM,RF 35mm F1.8 MACRO IS STM,RF 35mm F1.8 MACRO,Canon,RF,2026/09/12 21:11
RF50mm F1.2 L USM,RF 50mm F1.2 L USM,RF 50mm F1.2 L,Canon,RF,2026/09/12 21:11
RF70-200mm F2.8 L IS USM,RF 70-200mm F2.8 L IS USM,RF 70-200mm F2.8 L,Canon,RF,2026/09/12 21:11
RF85mm F1.2 L USM,RF 85mm F1.2 L USM,RF 85mm F1.2 L,Canon,RF,2026/06/04 12:00
RF85mm F2 MACRO IS STM,RF 85mm F2 MACRO IS STM,RF 85mm F2 MACRO,Canon,RF,2026/09/12 21:11
SIGMA 56mm F1.4 DC DN | Contemporary,SIGMA 56mm F1.4 DC DN Contemporary,56mm F1.4,SIGMA,X,2026/09/12 21:11
SUMMILUX-SL 1:1.4/50 ASPH.,Summilux-SL 50mm f/1.4 ASPH.,Summilux-SL 50mm f/1.4,Leica,L,2026/09/12 21:11
VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,Vario-Elmarit-SL 24-90mm f/2.8-4 ASPH.,Vario-Elmarit-SL 24-90mm f/2.8-4,Leica,L,2026/09/12 21:11
VR 70-200mm f/2.8E,VR 70-200mm f/2.8E,VR 70-200mm f/2.8E,Nikon,F,2026/09/12 21:11
XCD 20-35E@35,"XCD 3,2-4,5/20-35E","XCD 3,2-4,5/20-35",Hasselblad,XCD,2026/06/04 12:00
XCD 21,XCD 4/21,XCD 4/21,Hasselblad,XCD,2026/06/04 12:00
XCD 55,XCD 55,XCD 55,Hasselblad,XCD,2026/09/12 21:11
XF16-50mmF2.8-4.8 R LM WR,XF 16-50mm F2.8-4.8 R LM WR,XF 16-50mm F2.8-4.8,Fujifilm,X,2026/09/12 21:11
XF16-55mmF2.8 R LM WR,XF 16-55mm F2.8 R LM WR,XF 16-55mm F2.8,Fujifilm,X,2026/09/12 21:11
XF16-80mmF4 R OIS WR,XF 16-80mm F4 R OIS WR,XF 16-80mm F4,Fujifilm,X,2026/09/12 21:11
XF16mmF1.4 R WR,XF 16mm F1.4 R WR,XF 16mm F1.4,Fujifilm,X,2026/06/04 12:00
XF18-135mmF3.5-5.6R LM OIS WR,XF 18-135mm F3.5-5.6 R LM OIS WR,XF 18-135mm F3.5-5.6,Fujifilm,X,2026/09/12 21:11
XF23mmF2 R WR,XF 23mm F2 R WR,XF 23mm F2,Fujifilm,X,2026/09/12 21:11
XF33mmF1.4 R LM WR,XF 33mm F1.4 R LM WR,XF 33mm F1.4,Fujifilm,X,2026/09/12 21:11
XF35mmF2 R WR,XF 35mm F2 R WR,XF 35mm F2,Fujifilm,X,2026/09/12 21:11
XF55-200mmF3.5-4.8 R LM OIS,XF 55-200mm F3.5-4.8 R LM OIS,XF 55-200mm F3.5-4.8,Fujifilm,X,2026/09/12 21:11
XF56mmF1.2 R WR,XF 56mm F1.2 R WR,XF 56mm F1.2,Fujifilm,X,2026/09/12 21:11
XF8mmF3.5 R WR,XF 8mm F3.5 R WR,XF 8mm F3.5,Fujifilm,X,2026/09/12 21:11
iPhone 13 Pro back dual wide camera 5.7mm f/1.5,iPhone 13 Pro back dual wide camera 5.7mm f/1.5,iPhone 13 Pro back dual wide camera 5.7mm f/1.5,,,2026-09-12 21:54:10
