brand,alias
Canon,佳能
Nikon,尼康
Sony,索尼
Fujifilm,富士
Olympus,奥林巴斯
Panasonic,松下
Leica,莱卡
Hasselblad,哈苏
Phase One,飞思
Apple,苹果
Google,谷歌
